taxID,Organism
32020,Campylobacter fetus subsp. venerealis
32022,Campylobacter jejuni subsp. jejuni
32604,Human betaherpesvirus 6B
33010,Cutibacterium avidum
33011,Cutibacterium granulosum
33025,Phascolarctobacterium faecium
33033,Parvimonas micra
33035,Blautia producta
33040,Streptococcus milleri
33050,Sphingopyxis macrogoltabida
33069,Pseudomonas viridiflava
33074,Zymobacter palmae
33905,Bifidobacterium thermophilum
33932,Sutcliffiella cohnii
33934,Anoxybacillus flavithermus
33936,Aeribacillus pallidus
33940,Geobacillus thermodenitrificans
33945,Enterococcus avium
33959,Lactobacillus johnsonii
33964,Leuconostoc citreum
33966,Leuconostoc mesenteroides subsp. dextranicum
33967,Leuconostoc mesenteroides subsp. mesenteroides
33968,Leuconostoc pseudomesenteroides
34004,Paracoccus aminovorans
34038,Rahnella aquatilis
34062,Moraxella osloensis
34085,Riemerella anatipestifer
34105,Streptobacillus moniliformis
35241,Lactococcus phage Tuc2009
35343,Citexvirus phiCTX
35344,Streptococcus phage T12
35345,Lactococcus phage TP901-1
35703,Citrobacter amalonaticus
35755,Corynebacterium kutscheri
35760,Bifidobacterium choerinum
35818,Helicobacter pullorum
35841,Caldibacillus thermoamylovorans
36339,Enterobacteria phage RB68
36343,Ceduovirus bIL67
36745,Clostridium saccharoperbutylacetonicum
36805,Microbacterium aurum
36809,Mycobacteroides abscessus
36874,Porphyromonas cangingivalis
37105,Lactobacillus phage JCL1032
37372,Helicobacter bilis
37482,Laceyella sacchari
37554,Byrnievirus HK97
37734,Enterococcus casseliflavus
37762,Escherichia coli B
37929,Glutamicibacter nicotianae
38289,Corynebacterium jeikeium
38301,Corynebacterium minutissimum
38313,Shewanella algae
39103,Lactobacillus phage PL-1
39488,Anaerobutyricum hallii
39778,Veillonella dispar
39950,Dialister pneumosintes
40041,Streptococcus equi subsp. zooepidemicus
40214,Acinetobacter johnsonii
40215,Acinetobacter junii
40216,Acinetobacter radioresistens
40269,Aliivibrio salmonicida
40324,Stenotrophomonas maltophilia
40631,Ravinvirus N15
41170,Exiguobacterium acetylicum
41276,Brevundimonas vesicularis
41514,"Salmonella enterica subsp. arizonae serovar 62:z4,z23:-"
42897,Shigella flexneri 2a
43263,Pseudomonas alcaligenes
43659,Pseudoalteromonas tetraodonis
43674,Jonesia denitrificans
43675,Rothia mucilaginosa
43685,Lactococcus phage r1t
43768,Corynebacterium matruchotii
43770,Corynebacterium striatum
43771,Corynebacterium urealyticum
43990,Corynebacterium segmentosum
44008,Enterococcus cecorum
44139,Thauera aromatica K172
44283,Pasteurella multocida subsp. multocida
44574,Nitrosomonas communis
44688,Lactococcus lactis subsp. lactis bv. diacetylactis
44742,Desulfovibrio fairfieldensis
44935,Halomonas venusta
45243,Capnocytophaga haemolytica
45406,Tequatrovirus RB32
45634,Streptococcus cristatus
45658,Vibrio scophthalmi
45972,Staphylococcus pasteuri
46127,Staphylococcus felis
46256,Weissella hellenica
46626,Salmonella enterica subsp. enterica serovar Give
46679,Pseudomonas mucidolens
46867,Clostridium chauvoei
47421,Hydrogenophaga pseudoflava
47671,Lautropia mirabilis
47678,Bacteroides caccae
47714,Lacticaseibacillus paracasei subsp. paracasei
47715,Lacticaseibacillus rhamnosus
47770,Lactobacillus crispatus
47878,Pseudomonas azotoformans
47879,Pseudomonas corrugata
47880,Pseudomonas fulva
47883,Pseudomonas synxantha
47884,Pseudomonas taetrolens
47885,Pseudomonas oryzihabitans
47886,Pseudomonas luteola
47917,Serratia fonticola
48003,Mycoplasmopsis pullorum
48296,Acinetobacter pittii
48409,Salmonella enterica subsp. enterica serovar Virchow
48664,Xanthomonas fragariae
50948,Escherichia phage RB49
51101,Brevibacillus agri
51161,Actinobacillus delphinicola
51173,Ureibacillus thermosphaericus
51369,Lactobacillus phage A2
51515,Dehalobacterium formicoaceticum
51663,Pediococcus damnosus
51665,Aerococcus urinaeequi
51669,Tetragenococcus halophilus
52242,Lactobacillus gallinarum
52771,Actinomyces howellii
52773,Schaalia meyeri
52774,Actinomyces slackii
53336,Tatumella citrea
53345,Enterococcus durans
53346,Enterococcus mundtii
53354,Streptococcus gallolyticus subsp. gallolyticus
53408,Pseudomonas citronellolis
53442,Eubacterium callanderi
53444,Fructilactobacillus lindneri
53458,Janibacter limosus
54005,Peptoniphilus harei
54006,Peptoniphilus ivorii
54291,Raoultella ornithinolytica
55211,Erwinia persicina
55508,Janthinobacterium agaricidamnosum
55601,Vibrio anguillarum
55884,Enterobacteria phage SfV
56448,Xanthomonas arboricola
56460,Xanthomonas vesicatoria
56956,Thermus brockianus
57320,Pseudodesulfovibrio profundus
57706,Citrobacter braakii
57743,Salmonella enterica subsp. enterica serovar Weltevreden
58095,Salmonella enterica subsp. enterica serovar Agona
58096,Salmonella enterica subsp. enterica serovar Bareilly
58100,Salmonella enterica subsp. houtenae serovar Houten
58101,Salmonella enterica subsp. enterica serovar Waycross
58712,Salmonella enterica subsp. enterica serovar Anatum
59201,Salmonella enterica subsp. enterica
59202,Salmonella enterica subsp. salamae
59203,Salmonella enterica subsp. arizonae
59204,Salmonella enterica subsp. diarizonae
59205,Salmonella enterica subsp. houtenae
59277,Methanobacterium subterraneum
59505,Actinotignum schaalii
59737,Rathayibacter iranicus
60480,Shewanella sp. MR-4
60481,Shewanella sp. MR-7
60520,Lactiplantibacillus paraplantarum
61015,Staphylococcus succinus
61435,Dehalococcoides mccartyi
61635,Paracholeplasma brassicae
61645,Enterobacter asburiae
61646,Lelliottia amnigena
61647,Pluralibacter gergoviae
61648,Kluyvera intermedia
61651,Serratia ficaria
61652,Serratia rubidaea
62322,Shewanella baltica
63118,Skunavirus bIL170
64186,Moineauvirus Sfi21
65058,Corynebacterium ulcerans
66284,Shigella phage SfII
66692,Shouchella clausii KSM-K16
66711,Escherichia phage AR1
66712,Propionibacterium freudenreichii subsp. freudenreichii
67824,Citrobacter farmeri
67827,Citrobacter werkmanii
68895,Cupriavidus basilensis
69218,Enterobacter cancerogenus
69220,Lelliottia nimipressuralis
69328,Pseudomonas sp. VLB120
69609,Enterobacteria phage RB27
69665,Caulobacter sp. FWC26
69966,Macrococcoides caseolyticum
70255,Staphylococcus condimenti
70258,Staphylococcus piscifermentans
70775,Pseudomonas plecoglossicida
70803,Salmonella enterica subsp. enterica serovar Minnesota
71421,Haemophilus influenzae Rd KW20
71999,Kocuria palustris
72000,Kocuria rhizophila
72361,Bacillus vallismortis
72407,Klebsiella pneumoniae subsp. pneumoniae
72638,Moineauvirus Sfi19
72758,Staphylococcus capitis subsp. capitis
73010,Aeromonas encheleia
73422,Streptococcus phage TP-J34
74426,Collinsella aerofaciens
75379,Thiomonas intermedia K12
75588,Pseudomonas libanensis
75658,Campylobacter lanienae
75985,Mannheimia haemolytica
76123,Hoylesella enoeca
76258,Vibrio rumoiensis
76731,Roseateles depolymerans
76758,Pseudomonas orientalis
76759,Pseudomonas monteilii
76761,Pseudomonas veronii
76832,Myroides odoratimimus
76853,Solibacillus silvestris
76856,Fusobacterium nucleatum subsp. nucleatum
76857,Fusobacterium polymorphum
76859,Fusobacterium animalis
76869,Pseudomonas putida GB-1
76947,Sphingobium herbicidovorans
77775,Salmonella phage FelixO1
78245,Xanthobacter autotrophicus Py2
78344,Bifidobacterium pullorum subsp. gallinarum
78535,Streptococcus viridans
78541,Brussowvirus Sfi11
79604,Denitrobacterium detoxificans
79880,Shouchella clausii
79881,Alkalicoccobacillus gibsonii
79883,Sutcliffiella horikoshii
80842,Herbaspirillum rubrisubalbicans
80854,Moritella viscosa
82348,Streptococcus pluranimalium
82380,Microbacterium oxydans
82633,Cupriavidus pauculus
82688,Liquorilactobacillus nagelii
82983,Obesumbacterium proteus
82987,Tatumella ptyseos
82996,Serratia plymuthica
83129,Skunavirus P008
83262,Mycobacteroides immunogenum
83333,Escherichia coli K-12
83334,Escherichia coli O157:H7
83406,gamma proteobacterium HdN1
83617,Stenotrophomonas nitritireducens
83655,Leclercia adecarboxylata
83683,Lactobacillus amylolyticus
83684,Lactobacillus delbrueckii subsp. delbrueckii
84022,Clostridium aceticum
84032,Pseudoclostridium thermosuccinogenes
84096,Gordonia alkanivorans
84110,Slackia heliotrinireducens
84112,Eggerthella lenta
84292,Microbacterium chocolatum
85154,Brussowvirus bvO1205
85404,Mannheimia varigena
85581,Photobacterium damselae subsp. damselae
85698,Achromobacter xylosoxidans
86664,Priestia flexa
86665,Halalkalibacterium halodurans
87541,Aerococcus christensenii
87883,Burkholderia multivorans
88719,Neisseria elongata subsp. glycolytica
89059,Ligilactobacillus acidipiscis
89152,Peptacetobacter hiranonis
90105,Salmonella enterica subsp. enterica serovar Saintpaul
90245,Oligella urethralis
90370,Salmonella enterica subsp. enterica serovar Typhi
90371,Salmonella enterica subsp. enterica serovar Typhimurium
90410,Moineauvirus DT1
92706,[Brevibacterium] flavum
93064,Sphingomonas koreensis
93218,Pandoraea apista
93220,Pandoraea pnomenusa
93222,Pandoraea sputorum
93378,Edwardsiella hoshinae
93466,Fervidobacterium pennivorans
94122,Shewanella sp. ANA-3
94132,Ramlibacter tataouinensis
94624,Bordetella petrii
95486,Burkholderia cenocepacia
96773,Thauera chlorobenzoica
98228,Bacillus sp. OxB-1
98360,Salmonella enterica subsp. enterica serovar Dublin
99179,Bacteroides phage B40-8
99822,Streptococcus dysgalactiae subsp. dysgalactiae
102684,Streptococcus infantarius
103216,Peduovirus Wphi
103807,Enterobacteria phage phiP27
103816,Rhodococcus pyridinivorans
104087,Pseudomonas frederiksbergensis
104336,Microbacterium foliorum
105219,Ralstonia mannitolilytica
105559,Nitrosococcus watsonii C-113
106649,Acinetobacter guillouiae
106654,Acinetobacter nosocomialis
108619,Salmonella enterica subsp. enterica serovar Newport
108980,Acinetobacter ursingii
108981,Acinetobacter schindleri
109328,Leptotrichia trevisanii
109790,Lactobacillus jensenii
111015,Actinomyces radicidentis
112023,Moineauvirus mv7201
113107,Streptococcus australis
113557,Lacticaseibacillus paracasei subsp. tolerans
114090,Pediococcus inopinatus
114416,Lactococcus phage ul36
114527,Mogibacterium diversum
114615,Bradyrhizobium sp. ORS 278
115981,Salmonella enterica subsp. enterica serovar Montevideo
117541,Salmonella enterica subsp. enterica serovar Ohio
119206,Aerococcus sanguinicola
119219,Cupriavidus metallidurans
119602,Streptococcus dysgalactiae subsp. equisimilis
119912,Salmonella enterica subsp. enterica serovar Choleraesuis
119981,Propionibacterium australiense
120045,Zymomonas mobilis subsp. mobilis
120107,Sphingobium cloacae
120574,Streptococcus phage MM1
121719,Pannonibacter phragmitetus
123899,Bordetella trematum
128780,Stenotrophomonas acidaminiphila
128944,Aerococcus urinaehominis
129009,Staphylococcus prophage phiPV83
129338,Geobacillus subterraneus
129951,Human mastadenovirus C
130478,Triavirus SLT
133448,Citrobacter youngae
134047,Salmonella enterica subsp. enterica serovar Bredeney
134537,Paraburkholderia fungorum
134821,Ureaplasma parvum
135461,Bacillus subtilis subsp. subtilis
135719,Sphingobium amiense
136609,Leuconostoc kimchii
136857,Corynebacterium testudinoris
137545,Serratia quinivorans
137591,Weissella cibaria
138074,Serratia symbiotica
139870,Lactobacillus prophage Lj965
139871,Lactobacillus prophage Lj771
139872,Lactobacillus prophage Lj928
143221,Salmonella enterica subsp. enterica serovar Tennessee
143387,Fusobacterium necrophorum subsp. funduliforme
143388,Fusobacterium necrophorum subsp. necrophorum
145391,Staphylococcus hominis subsp. hominis
146269,Lactobacillus phage Lc-Nu
146827,Corynebacterium simulans
147645,Paracoccus yeei
148814,Apilactobacillus kunkeei
148942,Streptococcus equi subsp. equi
149016,Streptococcus urinalis
149385,Salmonella enterica subsp. enterica serovar Hadar
149387,Salmonella enterica subsp. enterica serovar Brandenburg
149388,Salmonella enterica subsp. enterica serovar Mikawasima
149391,Salmonella enterica subsp. enterica serovar Braenderup
149539,Salmonella enterica subsp. enterica serovar Enteritidis
150053,Yersinia enterocolitica subsp. palearctica
150055,Streptococcus lutetiensis
151534,Lactococcus phage bIL311
151535,Lactococcus phage bIL285
151536,Lactococcus phage bIL286
151537,Lactococcus phage bIL309
151538,Lactococcus phage bIL310
151539,Lactococcus phage bIL312
151599,Pseudomonas phage B3
151783,Cupriavidus campinensis
152297,Pseudoalteromonas issachenkonii
152331,Lentilactobacillus parabuchneri
152682,Sphingomonas melonis
153496,Kozakia baliensis
155148,Enterobacteria phage HK620
155615,Fusobacterium vincentii
155864,Escherichia coli O157:H7 str. EDL933
155866,Weissella soli
156978,Corynebacterium imitans
157687,Leptotrichia wadei
157688,Leptotrichia hofstadii
157691,Leptotrichia shahii
157782,Pseudomonas parafulva
157783,Pseudomonas cremoricolorata
157924,Streptococcus phage SM1
158500,Novosphingobium resinovorum
158822,Cedecea neteri
158836,Enterobacter hormaechei
158847,Megamonas hypermegale
158850,Providencia rustigianii
159087,Dechloromonas aromatica RCB
160453,Enterococcus gilvus
160488,Pseudomonas putida KT2440
160491,Streptococcus pyogenes str. Manfredo
160660,Acidihalobacter prosperus
161895,Corynebacterium phocae
161896,Corynebacterium camporealensis
161899,Corynebacterium singulare
162426,Microbacterium hominis
162496,Glutamicibacter creatinolyticus
164757,Mycobacterium sp. JLS
165096,Weissella koreensis
168807,Escherichia coli O127:H6
168927,Escherichia coli O111:H-
169283,Geobacillus lituanicus
169679,Clostridium saccharobutylicum
169963,Listeria monocytogenes EGD-e
170187,Streptococcus pneumoniae TIGR4
170573,Staphylococcus pettenkoferi
171101,Streptococcus pneumoniae R6
172042,Rothia aeria
172045,Elizabethkingia miricola
176102,Pseudoalteromonas agarivorans
176279,Staphylococcus epidermidis RP62A
176280,Staphylococcus epidermidis ATCC 12228
176292,Secundilactobacillus malefermentans
178306,Pyrobaculum aerophilum str. IM2
179997,Salmonella enterica subsp. enterica serovar Havana
180282,Delftia tsuruhatensis
180434,Morganella morganii subsp. morganii
180957,Pectobacterium brasiliense
182773,Clostridium isatidis
183417,Proteus hauseri
185008,Butyrivibrio hungatei
186103,Streptococcus pyogenes MGAS8232
186153,Peeveelvirus pv13
187101,Sneathia vaginalis
187452,Pediococcus claussenii
187491,Corynebacterium glaucum
187764,Vectrevirus K15
189423,Streptococcus pneumoniae 670-6B
189425,Paenibacillus graminis
189426,Paenibacillus odorifer
189834,Actinobacillus porcitonsillarum
190304,Fusobacterium nucleatum subsp. nucleatum ATCC 25586
190485,Xanthomonas campestris pv. campestris str. ATCC 33913
190721,Ralstonia insidiosa
190895,Vibrio rotiferianus
191610,Corynebacterium atypicum
192421,Planococcus maritimus
192953,Salmonella enterica subsp. enterica serovar Stanley
192954,Salmonella enterica subsp. enterica serovar Mbandaka
192955,Salmonella enterica subsp. enterica serovar Kentucky
194949,Escherichia phage Stx2 II
195102,Clostridium perfringens str. 13
195103,Clostridium perfringens ATCC 13124
195105,Haematobacter massiliensis
196023,Aeromonas hydrophila subsp. hydrophila
196024,Aeromonas dhakensis
196164,Corynebacterium efficiens YS-314
196242,Enterobacteria phage BP-4795
197575,Haemophilus aegyptius
197614,Streptococcus pasteurianus
198214,Shigella flexneri 2a str. 301
198467,Anoxybacillus gonensis
198620,Pseudomonas koreensis
199310,Escherichia coli CFT073
199441,Halalkalibacter krulwichiae
200450,Pseudomonas trivialis
200991,Planococcus rifietoensis
201847,Lactococcus phage 4268
203119,Acetivibrio thermocellus ATCC 27405
203120,Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
203123,Oenococcus oeni PSU-1
203267,Tropheryma whipplei str. Twist
203275,Tannerella forsythia 92A2
204042,Dickeya zeae
204773,Herminiimonas arsenicoxydans
205913,Bifidobacterium longum DJO10A
205914,Histophilus somni 129PT
205921,Streptococcus agalactiae A909
206506,Kerstersia gyiorum
206672,Bifidobacterium longum NCC2705
207340,Roseomonas mucosa
207559,Oleidesulfovibrio alaskensis G20
208224,Enterobacter kobei
208435,Streptococcus agalactiae 2603V/R
